case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,step_comments,comment,stacktrace,priority,severity,automation,type,tags,case_parameter,is_muted
1,"При нажатии на кнопку ""Создать тему"" происходит переход по ссылке: https://gb.ru/topics/new","Создание темы обсуждения",1,"Егор Саратов",49912,Passed,"2024-07-01 20:44:34",,,,,,,,"Not set",Normal,Manual,Other,,,false
2,"Отображается заголовок ""Создание темы обсуждение""","Создание темы обсуждения",1,"Егор Саратов",142924,Passed,"2024-07-01 20:46:59",,,,,,,,"Not set",Normal,Manual,Other,,,false
3,"Проверить наличие названия поля ""Заголовок темы""","Заголовок темы",2,"Егор Саратов",11000,Failed,"2024-07-01 20:47:12",,,,,,"При снятии курсора (фокуса) с поля ввода заголовок пропадает/скрывается/исчезает",,"Not set",Normal,Manual,Other,,,false
4,"Проверить наличие поля ввода","Заголовок темы",2,"Егор Саратов",385587,Passed,"2024-07-01 21:24:36",,,,,,,,"Not set",Normal,Manual,Other,,,false
5,"Проверить наличие плейсхолдера ""Минимум 10 символов""","Заголовок темы",2,"Егор Саратов",15336,Passed,"2024-07-01 21:26:49",,,,,,,,"Not set",Normal,Manual,Other,,,false
6,"Проверить что при установке курсора плейсхолдер пропадает","Заголовок темы",2,"Егор Саратов",10246,Passed,"2024-07-01 21:27:01",,,,,,,,"Not set",Normal,Manual,Other,,,false
7,"Проверить что происходит успешная отправка заголовка длинной в 11 символов","Заголовок темы",2,"Егор Саратов",156959,Passed,"2024-07-01 21:29:40",,,,,,,,"Not set",Normal,Manual,Other,,,false
8,"Проверить что происходит успешная отправка заголовка длинной в 60 символов","Заголовок темы",2,"Егор Саратов",38178,Passed,"2024-07-02 08:32:17",,,,,,,,"Not set",Normal,Manual,Other,,,false
9,"Проверить что происходит успешная отправка заголовка длинной в 10 символов","Заголовок темы",2,"Егор Саратов",120672,Passed,"2024-07-02 08:34:19",,,,,,,,"Not set",Normal,Manual,Other,,,false
10,"Проверить что происходит успешная отправка заголовка длинной в 59 символов","Заголовок темы",2,"Егор Саратов",2003,Passed,"2024-07-02 08:34:24",,,,,,,,"Not set",Normal,Manual,Other,,,false
11,"Проверить что при отправке заголовка длинной менее 10 символов отобразиться уведомление ""Заголовок темы должен содержать не менее 10 и не более 60 символов!""","Заголовок темы",2,"Егор Саратов",7284,Passed,"2024-07-02 08:34:33",,,,,,,,"Not set",Normal,Manual,Other,,,false
12,"Проверить что при отправке заголовка длинной более 60 символов отобразиться уведомление ""Заголовок темы должен содержать не менее 10 и не более 60 символов!""","Заголовок темы",2,"Егор Саратов",5068,Passed,"2024-07-02 08:34:40",,,,,,,,"Not set",Normal,Manual,Other,,,false
13,"Проверить что при отправке пустого поля ""Заголовок темы"" отобразится уведомление ""Заголовок темы не должен быть пустым!""","Заголовок темы",2,"Егор Саратов",34690,Passed,"2024-07-02 08:35:16",,,,,,,,"Not set",Normal,Manual,Other,,,false
